Mean,Std,Max,Min,RMS,Energy,PeakToPeak,ZeroCrossRate,Label
26.09,0.99,28.22,25.22,26.11,136385.38,3.00,0.00,BENDING
24.19,0.46,25.22,23.22,24.20,117122.21,2.00,0.00,BENDING
22.42,0.43,24.22,22.22,22.43,100612.39,2.00,0.00,BENDING
22.21,0.07,22.22,21.22,22.22,98701.91,1.00,0.00,BENDING
21.54,0.47,22.22,21.22,21.55,92837.79,1.00,0.00,BENDING
21.22,0.07,22.22,21.22,21.23,90101.11,1.00,0.00,BENDING
21.18,0.18,21.22,20.22,21.19,89767.56,1.00,0.00,BENDING
20.42,0.40,21.22,20.22,20.43,83468.39,1.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.19,0.17,20.22,19.22,20.19,81532.73,1.00,0.00,BENDING
19.92,0.46,20.22,19.22,19.93,79402.98,1.00,0.00,STRAIGHT
19.54,0.47,20.22,19.22,19.55,76445.01,1.00,0.00,STRAIGHT
19.24,0.16,20.22,19.22,19.25,74078.59,1.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.20,0.20,19.22,17.22,19.20,73735.63,2.00,0.00,STRAIGHT
19.20,0.20,19.22,17.22,19.20,73735.63,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.82,0.49,20.22,19.22,19.83,78653.64,1.00,0.00,STRAIGHT
19.39,0.38,20.22,19.22,19.40,75261.78,1.00,0.00,STRAIGHT
19.25,0.18,20.22,19.22,19.26,74157.46,1.00,0.00,STRAIGHT
19.24,0.23,20.22,17.22,19.25,74084.59,3.00,0.00,STRAIGHT
19.33,0.31,20.22,19.22,19.33,74749.05,1.00,0.00,STRAIGHT
25.83,3.84,32.22,20.22,26.12,136444.44,12.00,0.00,BENDING
26.09,0.89,28.22,24.22,26.11,136347.31,4.00,0.00,BENDING
26.16,0.77,27.22,24.22,26.18,137039.48,3.00,0.00,BENDING
26.16,0.74,27.22,24.22,26.18,137029.50,3.00,0.00,BENDING
26.37,0.76,28.22,25.22,26.39,139242.00,3.00,0.00,BENDING
26.78,0.73,28.22,25.22,26.79,143592.08,3.00,0.00,BENDING
31.80,3.97,37.22,25.22,32.05,205463.72,12.00,0.00,BENDING
31.92,1.38,34.22,29.22,31.95,204156.94,5.00,0.00,BENDING
30.68,1.24,32.22,28.22,30.71,188559.84,4.00,0.00,BENDING
31.54,1.61,34.22,27.22,31.58,199475.38,7.00,0.00,BENDING
29.70,1.03,31.22,28.22,29.72,176629.50,3.00,0.00,BENDING
28.04,0.40,29.22,27.22,28.04,157279.41,2.00,0.00,BENDING
27.20,0.14,27.22,26.22,27.20,147971.72,1.00,0.00,BENDING
25.83,1.19,28.22,24.22,25.86,133774.59,4.00,0.00,BENDING
23.84,0.61,25.22,21.22,23.85,113743.98,4.00,0.00,BENDING
22.04,0.49,23.22,21.22,22.05,97199.61,2.00,0.00,BENDING
21.19,0.17,21.22,20.22,21.19,89809.02,1.00,0.00,BENDING
